PACKAGE,CLASS,LINUX,MAC,WINDOWS,TOTAL
org.jhotdraw.draw.action,AlignAction,4,4,4,4
org.jhotdraw.draw.action,AlignAction.East,2,2,2,3
org.jhotdraw.draw.action,AlignAction.Horizontal,2,2,2,3
org.jhotdraw.draw.action,AlignAction.North,2,2,2,3
org.jhotdraw.draw.action,AlignAction.South,2,2,2,3
org.jhotdraw.draw.action,AlignAction.Vertical,2,2,2,3
org.jhotdraw.draw.action,AlignAction.West,2,2,2,3
org.jhotdraw.draw.action,ApplyAttributesAction,0,0,0,5
org.jhotdraw.draw.action,AttributeAction,0,0,0,8
org.jhotdraw.draw.action,AttributeAction.new AbstractUndoableEdit() {...},0,0,0,4
org.jhotdraw.draw.action,AttributeToggler,0,0,0,5
org.jhotdraw.draw.action,AttributeToggler.new AbstractUndoableEdit() {...},0,0,0,4
org.jhotdraw.draw.action,ButtonFactory,9,9,9,49
org.jhotdraw.draw.action,ButtonFactory.new Comparator() {...},0,0,0,2
org.jhotdraw.draw.action,ButtonFactory.new FigureSelectionListener() {...},0,0,0,2
org.jhotdraw.draw.action,ButtonFactory.new ItemListener() {...},2,2,2,2
org.jhotdraw.draw.action,ButtonFactory.new PropertyChangeListener() {...},2,2,2,2
org.jhotdraw.draw.action,ButtonFactory.new PropertyChangeListener() {...},0,0,0,2
org.jhotdraw.draw.action,ButtonFactory.new PropertyChangeListener() {...},0,0,0,2
org.jhotdraw.draw.action,ButtonFactory.new PropertyChangeListener() {...},0,0,0,2
org.jhotdraw.draw.action,ButtonFactory.new PropertyChangeListener() {...},2,2,2,2
org.jhotdraw.draw.action,ButtonFactory.new ToolListener() {...},4,4,4,4
org.jhotdraw.draw.action,ButtonFactory.new ZoomAction() {...},2,2,2,2
org.jhotdraw.draw.action,ButtonFactory.new ZoomEditorAction() {...},0,0,0,2
org.jhotdraw.draw.action,ButtonFactory.ToolButtonListener,2,2,2,2
org.jhotdraw.draw.action,ColorIcon,0,0,0,4
org.jhotdraw.draw.action,Colors,0,0,0,2
org.jhotdraw.draw.action,DefaultAttributeAction,0,0,0,11
org.jhotdraw.draw.action,DefaultAttributeAction.new PropertyChangeListener() {...},0,0,0,2
org.jhotdraw.draw.action,DrawingEditorProxy,3,3,3,19
org.jhotdraw.draw.action,DrawingEditorProxy.new PropertyChangeListener() {...},2,2,2,2
org.jhotdraw.draw.action,EditorColorChooserAction,0,0,0,9
org.jhotdraw.draw.action,EditorColorIcon,0,0,0,3
org.jhotdraw.draw.action,GenericListener,0,0,0,7
org.jhotdraw.draw.action,GenericListener.DefaultInvoker,0,0,0,7
org.jhotdraw.draw.action,GenericListener.new GenericListener.DefaultInvoker() {...},0,0,0,2
org.jhotdraw.draw.action,GroupAction,4,4,4,7
org.jhotdraw.draw.action,GroupAction.new CompositeEdit() {...},0,0,0,4
org.jhotdraw.draw.action,ImageBevelBorder,0,0,0,6
org.jhotdraw.draw.action,IncludeSqlStatementAction,1,3,3,3
org.jhotdraw.draw.action,LineDecorationIcon,0,0,0,4
org.jhotdraw.draw.action,MoveAction,2,2,2,2
org.jhotdraw.draw.action,MoveAction.East,1,1,1,1
org.jhotdraw.draw.action,MoveAction.North,1,1,1,1
org.jhotdraw.draw.action,MoveAction.South,1,1,1,1
org.jhotdraw.draw.action,MoveAction.West,1,1,1,1
org.jhotdraw.draw.action,MoveConstrainedAction,2,2,2,2
org.jhotdraw.draw.action,MoveConstrainedAction.East,1,1,1,1
org.jhotdraw.draw.action,MoveConstrainedAction.North,1,1,1,1
org.jhotdraw.draw.action,MoveConstrainedAction.South,1,1,1,1
org.jhotdraw.draw.action,MoveConstrainedAction.West,1,1,1,1
org.jhotdraw.draw.action,MoveToBackAction,4,4,4,4
org.jhotdraw.draw.action,MoveToBackAction.new AbstractUndoableEdit() {...},2,2,2,4
org.jhotdraw.draw.action,MoveToFrontAction,4,4,4,4
org.jhotdraw.draw.action,MoveToFrontAction.new AbstractUndoableEdit() {...},2,2,2,4
org.jhotdraw.draw.action,PaletteMenuItemUI,0,0,0,4
org.jhotdraw.draw.action,PickAttributesAction,0,0,0,5
org.jhotdraw.draw.action,SelectAttributeTypeAction,3,3,3,3
org.jhotdraw.draw.action,SelectionColorChooserAction,0,0,0,6
org.jhotdraw.draw.action,SelectionColorIcon,0,0,0,3
org.jhotdraw.draw.action,SelectSameAction,3,3,3,3
org.jhotdraw.draw.action,StrokeIcon,0,0,0,4
org.jhotdraw.draw.action,ToggleGridAction,0,0,0,6
org.jhotdraw.draw.action,UngroupAction,4,4,4,7
org.jhotdraw.draw.action,UngroupAction.new CompositeEdit() {...},0,0,0,3
org.jhotdraw.draw.action,VerticalGridLayout,5,5,5,21
org.jhotdraw.draw.action,ZoomAction,2,2,2,3
org.jhotdraw.draw.action,ZoomAction.new Runnable() {...},2,2,2,2
org.jhotdraw.draw.action,ZoomEditorAction,0,0,0,3
org.jhotdraw.draw,ArrowTip,0,0,0,7
org.jhotdraw.draw,AtributoChaveFigure,8,8,12,12
org.jhotdraw.draw,AtributoChaveFigure.new FigureAdapter() {...},3,3,3,3
org.jhotdraw.draw,AtributoChaveParcialFigure,10,8,12,12
org.jhotdraw.draw,AtributoChaveParcialFigure.new FigureAdapter() {...},3,3,3,3
org.jhotdraw.draw,AtributoDerivadoFigure,9,10,10,10
org.jhotdraw.draw,AtributoDerivadoFigure.new FigureAdapter() {...},3,3,3,3
org.jhotdraw.draw,AtributoFigure,12,12,12,12
org.jhotdraw.draw,AtributoFigure.new FigureAdapter() {...},3,3,3,3
org.jhotdraw.draw,AtributoMultivaloradoFigure,8,8,12,12
org.jhotdraw.draw,AtributoMultivaloradoFigure.new FigureAdapter() {...},3,3,3,3
org.jhotdraw.draw,AttributeChangeEdit,0,0,0,4
org.jhotdraw.draw,AttributeKey,9,9,9,20
org.jhotdraw.draw,AttributeKey.new AbstractUndoableEdit() {...},0,0,0,4
org.jhotdraw.draw,AttributeKeys,9,9,9,10
org.jhotdraw.draw,AttributeKeys.Orientation,2,2,2,4
org.jhotdraw.draw,AttributeKeys.StrokePlacement,3,3,3,4
org.jhotdraw.draw,AttributeKeys.StrokeType,3,3,3,4
org.jhotdraw.draw,AttributeKeys.Underfill,3,3,3,4
org.jhotdraw.draw,AttributeKeys.WindingRule,2,2,2,4
org.jhotdraw.draw,BezierControlPointHandle,0,0,0,16
org.jhotdraw.draw,BezierFigure,33,32,33,57
org.jhotdraw.draw,BezierFigure.new AbstractUndoableEdit() {...},0,0,0,4
org.jhotdraw.draw,BezierLabelLocator,3,3,3,8
org.jhotdraw.draw,BezierNodeEdit,1,1,1,6
org.jhotdraw.draw,BezierNodeHandle,14,16,14,18
org.jhotdraw.draw,BezierNodeHandle.new AbstractUndoableEdit() {...},0,0,0,4
org.jhotdraw.draw,BezierOutlineHandle,6,6,6,9
org.jhotdraw.draw,BezierPointLocator,0,0,0,5
org.jhotdraw.draw,BezierScaleHandle,0,0,0,10
org.jhotdraw.draw,BezierTool,0,0,0,17
org.jhotdraw.draw,BezierTool.new AbstractUndoableEdit() {...},0,0,0,4
org.jhotdraw.draw,BidirectionalConnectionTool,0,0,0,36
org.jhotdraw.draw,BorderRectangleFigure,0,0,0,3
org.jhotdraw.draw,BoundsOutlineHandle,5,5,5,8
org.jhotdraw.draw,ChopBezierConnector,1,1,1,3
org.jhotdraw.draw,ChopDiamondConnector,0,0,0,3
org.jhotdraw.draw,ChopEllipseConnector,0,0,0,5
org.jhotdraw.draw,ChopRectangleConnector,5,5,5,5
org.jhotdraw.draw,ChopRoundRectangleConnector,0,0,0,3
org.jhotdraw.draw,ChopTriangleConnector,0,0,0,3
org.jhotdraw.draw,CircleFigure,10,10,10,14
org.jhotdraw.draw,CloseHandle,0,0,0,7
org.jhotdraw.draw,CompositeFigure,0,0,0,1
org.jhotdraw.draw,CompositeTransformEdit,0,0,0,10
org.jhotdraw.draw,ConnectionEndHandle,3,3,3,8
org.jhotdraw.draw,ConnectionStartHandle,3,3,3,8
org.jhotdraw.draw,ConnectionTool,14,13,14,17
org.jhotdraw.draw,ConnectionTool.new AbstractUndoableEdit() {...},1,1,1,4
org.jhotdraw.draw,ConnectorHandle,0,0,0,17
org.jhotdraw.draw,ConnectorHandle.new AbstractUndoableEdit() {...},0,0,0,4
org.jhotdraw.draw,CreationTool,9,9,9,16
org.jhotdraw.draw,CreationTool.new AbstractUndoableEdit() {...},1,1,2,4
org.jhotdraw.draw,DefaultDrawing,22,21,22,25
org.jhotdraw.draw,DefaultDrawingEditor,13,14,13,20
org.jhotdraw.draw,DefaultDrawingEditor.new FocusListener() {...},3,3,3,3
org.jhotdraw.draw,DefaultDrawing.FigureHandler,4,3,4,5
org.jhotdraw.draw,DefaultDrawingView,55,58,56,65
org.jhotdraw.draw,DefaultDrawingViewBeanInfo,0,0,0,13
org.jhotdraw.draw,DefaultDrawingView.new AbstractUndoableEdit() {...},2,2,2,4
org.jhotdraw.draw,DefaultDrawingView.new AbstractUndoableEdit() {...},2,2,2,4
org.jhotdraw.draw,DefaultDrawingView.new DrawingListener() {...},2,2,2,4
org.jhotdraw.draw,DefaultDrawingView.new FigureAdapter() {...},1,1,1,2
org.jhotdraw.draw,DefaultDrawingView.new FocusListener() {...},3,3,3,3
org.jhotdraw.draw,DefaultDrawingViewTransferHandler,5,5,5,9
org.jhotdraw.draw,DefaultDrawingViewTransferHandler.new AbstractUndoableEdit() {...},2,2,2,4
org.jhotdraw.draw,DefaultDrawingViewTransferHandler.new AbstractUndoableEdit() {...},0,0,0,4
org.jhotdraw.draw,DefaultDrawingViewTransferHandler.new AbstractUndoableEdit() {...},2,2,2,4
org.jhotdraw.draw,DefaultDrawingViewTransferHandler.new DrawingListener() {...},2,2,2,4
org.jhotdraw.draw,DelegationSelectionTool,8,9,8,12
org.jhotdraw.draw,DelegationSelectionTool.new ActionListener() {...},1,1,1,2
org.jhotdraw.draw,DiamondFigure,12,12,12,15
org.jhotdraw.draw,Direction,3,3,3,4
org.jhotdraw.draw,DisjuncaoFigure,6,6,6,6
org.jhotdraw.draw,DOMStorableInputOutputFormat,9,9,9,14
org.jhotdraw.draw,DoubleLineConnectionGeneralizacaoFigure,3,3,3,3
org.jhotdraw.draw,DragTracker,4,4,4,5
org.jhotdraw.draw,DrawingEvent,5,5,5,6
org.jhotdraw.draw,DrawingPageable,1,2,6,6
org.jhotdraw.draw,DrawingPageable.new Printable() {...},0,0,2,2
org.jhotdraw.draw,ElbowLiner,0,0,0,7
org.jhotdraw.draw,EllipseFigure,11,11,11,15
org.jhotdraw.draw,EntidadeFigure,7,7,7,8
org.jhotdraw.draw,EntidadeFigure.new FigureAdapter() {...},3,3,3,3
org.jhotdraw.draw,EntidadeFracaFigure,7,7,7,7
org.jhotdraw.draw,EntidadeFracaFigure.new FigureAdapter() {...},3,3,3,3
